userName,score,at,content
Yogi Prayogi,3,2026-05-03 11:26:45,"mau beli tiket malah ada pemberitahuan ""layanan sedang dalam pemeliharaan"" ini gimana saya mau berangkat kerja kalo aplikasinya saja tidak bisa digunakan, karena cuma transportasi kereta saja yg lokasinya dekat dengan tempat kerja saya, karna transportasi yg lain terlalu jauh. lama banget pemeliharaannya dari siang sampai malam belum beres beres"
prie 25,5,2026-05-03 11:02:38,oke
Novemba Avlen Wicaksono,1,2026-05-03 10:36:28,"Tolong perbaiki lah sistem bug kamu ini. Masa iya mau hapus aku ""Pilih Alasan Hapus Akun"" diklik berkali-kali gabisa sampai 1jam loh. Bukannya makin baik, malah makin buruk. Belum lagi sistem pembagian tarif tiket ga merata sampai saat ini. Ga semua orang perlu kelas bisnis, penting orang sampai tujuan dgn cepat liat data penjualan tinggi kelas mana ekonomi apa bisnis. Selalu kehabisan tiket tiap mau beli, yakali beli tiket yg jarak tempuh under 10 jam bayar harga overprice karna ekonomi habis."
mirza ahmad,1,2026-05-03 10:06:51,"manajemen kalian tolong diperbaiki, mohon dalam perekrutan tim IT dan yang menyangkut dengan aplikasi diseleksi secara adil dan jujur! jangan membawa orang titipan. saya jadi sering kehabisan tiket karena bug yang dialami pada aplikasi, saya sering mengalami kendala tiba tiba tiket pada hari itu tidak ada semua sampai Minggu depannya dengan tulisan jadwal tidak tersedia, tolong kalo gabisa kerja mati aja.. dari saya itu, mohon diperbaiki"
M Sa'diah,5,2026-05-03 09:18:19,"semangatt terus buat pak Boby dan rekan"" kai🔥🔥🔥 samean Kabeh topp pokoke"
wahyu agung,5,2026-05-03 08:40:19,"akhir2 ini app kai access agak lemot dan tiket kadang tidak muncul, saya coba buka lewat aplikasi shopee malah muncul tiketnya. jadi saya beli lewat app shopee bukan dari kai access langsung. tolong diperbaiki ya"
Emi Safitri,1,2026-05-03 08:17:52,kenapa akun saya tidak bisa kalau klik yg tanpa kursi pdahalawale kemaren masih bisa
Jo andi,4,2026-05-03 07:53:04,"mau download aplikasi di samsung a02 s ada tulisan tidak kompetibel dengan perangkat, kenapa ya?"
Akbar Bae,5,2026-05-03 05:41:47,good
Aldi Aldi,4,2026-05-03 05:00:08,bagus junihmatap
Byani P,1,2026-05-03 04:50:50,Di bikin kesal pesan tiket gagal terus
Devi Sukmawati,1,2026-05-03 03:43:56,buruk
alif syahdan,5,2026-05-03 03:42:57,saya bisa kemana mana naik kereta
Boyfriend Jeongmin,3,2026-05-03 03:13:32,bug pada connecting train
Dede Ardian,5,2026-05-03 02:31:57,siiip
ardion nandasutanto,1,2026-05-03 02:25:08,pembaruan aplikasi tidak tambah baik malah tambah buruk 👎
Selasa 22,1,2026-05-03 02:03:37,aplikasi dungu error mulu
Riyan Hidayatulllah,1,2026-05-03 01:49:37,"balikin duitnya, transaksi dibatalin tapi duitnya gak dibalikin"
Komar Udin,5,2026-05-03 00:36:36,bagus
subro to,5,2026-05-02 23:43:33,aplikasi semakin bagus
Syaiful Ihwan,5,2026-05-02 23:27:27,Bagus
Joko Ahmad Raharjo,1,2026-05-02 23:25:48,Pesan tiket jurusan Medan-Binjai tidak bisa.
Ardhan Febriansyah,5,2026-05-02 22:57:59,Sangat membantu untuk mencari informasi mengenai jadwal KA dan ketersediaan kursi. Semoga kedepannya bisa ditambah fitur penukaran railpoin menjadi merchandise
Ayhu Puspita,1,2026-05-02 22:52:33,apk sering error
Bendo,1,2026-05-02 18:37:00,"tidak bisa buat pesan tiket, jadwal tidak tersedia semuanya"
Kochzz,3,2026-05-02 17:37:18,selalu kalah mendapatkan tiket yang di pinginin heran udah succes malah error terus
Fadly Alun,3,2026-05-02 15:37:39,tolong untuk kai evaluasi asuransi refund pihak ke 3 karna proses klaim agak sulit
Wangga Arif mawan,5,2026-05-02 13:59:50,Bagus banget jadi GK ngantri di loket semoga st Brebes Jawa Tengah menjadi st besar tambah kereta nya amin🙏 solnya setip mau berangkat pagi sore MLM siang susah .. solnya GK ada keberatan pagi MLM sore siang? Tolong dong stasiun Brebes tambah kereta lagi KA Majapahit sama ka Brawijaya kA Blambangan ekspres kA Gumarang KA pandalungan KA Argo Anjasmoro KA Argo Merbabu KA Argo Muria KA Sindoro bisa di perpanjang sape Brebes Amin 🙏🙏💪💪💪🥺🥺🥳🥳
fibri murjianto,1,2026-05-02 13:19:46,"Tidak tepat waktu, jadwal keberangkatan molor."
alok simanjitak,1,2026-05-02 13:18:39,"gejelas, tiket kadang masih tersedia tapi ga muncul atau malah cuma muncul tanpa bangku, tp waktu di refresh malah muncul, jam tiba"" keubah ga jelas, tolong lebih di percepat performanya"
Azura Nova,1,2026-05-02 13:02:35,ga bisa daftar member basic
Siti Fatimah,1,2026-05-02 12:22:43,Perangkat Anda tidak kompatibel dengan versi ini😫😫 tidak bisa di unduh di hp saya
Dandy nur Ali shova,1,2026-05-02 09:03:18,"kenapa punya saya gak bisa untuk pemesanan ya.? setelah update jadi tidak bisa buat pemesanan.di akun adik saya bisa tapi di aplikasi saya tidak bisa? ketika ditekan ""lokal"" atau ""antar kota"" muncul ""sendang pemeliharaan"" dari setelah saya update lo.mohon segera di perbaiki,saya diarea madiun mau arah ke surabaya,."
ADCHARUL LUTVINDO,2,2026-05-02 07:03:14,kenapa tdk compatible lg dg perangkat?. posisi android 16. astaga udah complain dr 7 april peeihal update aplikasi supaya bisa diandroid 16 sampe skrg blm bisa... di email juga sama balasannya astaga... budget mantenance team IT buat apa
Rahmayani Fitri,5,2026-05-02 07:02:48,tambahkan menu di apk untuk melihat kereta datang tepat waktu atau terlambat
Yesianggraeni putri,5,2026-05-02 06:01:42,best bgt lah pokoknya. semangat terus KAI ditengah musibah ini. tp KAI keren poll
SUNGGUH NDRURU channel,5,2026-05-02 05:53:22,"mantap, murah"
Fairus,5,2026-05-02 05:00:08,"Mohon maaf 1 bintang dulu, soalnya belum sempat pake 🙏. Saat mau upgrade ke member basic, kode OTP sudah dikirim tapi loadingnya lama sekali, ya. Saya perhatikan banyak orang mengalami kendala yang sama juga. Mohon segera diperbaiki."
Zunus ahmad,5,2026-05-02 01:16:44,oke
